source,target,value,,
Email Sent,Email Opened,571000,,
Email Opened,Click Through to Site,448652,,
Email Sent,Unopened or Bounced,29000,,
Subscribers,Email Sent,600000,,
Subscribers,Unsubscribed,541,,
Existing Subscribers,Subscribers,609000,,
Email Prefs Page,Subscribers,140,,
Registration Page,Subscribers,924,,
Registration Page,Email Prefs Page,934,,
Sign-in Page,Registration Page,166,,
Other,Registration Page,7636,,
Gateway,Sign-in Page,400,,
Gateway,Email Prefs Page,30,,
Treat,Gateway,243,,
Guardian Today Explainer,Gateway,436,,
Footer,Guardian Today Explainer,187,,
Guardian Today Explainer,Drop Out,100,,
Sign-in Page,Drop Out,100,,
Registration Page,Drop Out,100,,
Email Opened,No Click Through to Site,122348,,
